MHWA-77M Multi-seeds Game Score,,,,,
Game,Random,Human,Seed_0,Seed_1,Seed_2
Assault,222.4,742,1209.3,1109.1,888.1
Atlantis,12850,29028.1,3320456.3,1078587.5,673156.2
BeamRider,363.9,16926.5,4077.6,4920,3608.8
Carnival,0,3800,1300,305,1040
Centipede,2090.9,12017,5689.3,3705.4,5518.1
ChopperCommand,811,7387.8,3300,5793.8,4550
DemonAttack,152.1,1971,8036.3,6766.6,4977.5
NameThisGame,2292.3,8049,15750,9140,14950
Phoenix,761.4,7242.6,5218.1,4503.8,3706.3
Seaquest,68.4,42054.7,1683.8,926.3,1035
SpaceInvaders,148,1668.7,3350,3495,2000
StarGunner,664,10250,7800,24000,25500
TimePilot,3568,5229.2,4500,4700,4900
Zaxxon,32.5,9173.3,700,2800,0
